path	sha256	bytes	status	upstream_family	reference	notes
UI/Icons/auctioneer.tga	84bf81ad1eb0c18413d479fabb686507574393ec634d06941677acfc7fcfcf79	2545	exact-byte-match	pfQuest-classicAPI-octo	pfQuest-classicAPI-octo/img/tracking/auctioneer.tga	SHA-256 exact byte match to the supplied reference snapshot.
UI/Icons/available.blp	6846ce024c0dfaabbcbfcb4911904653d1c9d6b4c35ac8582903a34c3bae36af	6632	unresolved-in-current-reference-set	Unresolved	No exact match in supplied Questie 5.2.3/6.0.0 or pfQuest reference snapshots	Existing asset preserved unchanged; this audit does not guess its origin or grant additional rights.
UI/Icons/available_gray.tga	a3d2934b0b93609c47001bc5a82b99ab45c0494585db7cbc15deb8cd68086b73	4140	project-supplied-conversion	Questie-Octo project input	Maintainer-supplied 32x32 gray available marker	WoW-compatible TGA conversion of the image supplied directly by the Questie-Octo maintainer on 2026-08-17.
UI/Icons/available_mobdrop.blp	0a385ba84e72b904f7f1c95b062f2618ef7c4a0ba1fa5ad1b92e949863782df9	1172	unresolved-in-current-reference-set	Unresolved	No exact match in supplied Questie 5.2.3/6.0.0 or pfQuest reference snapshots	Existing asset preserved unchanged; this audit does not guess its origin or grant additional rights.
UI/Icons/available_object.blp	bb50d9db07f2c22e337b379986cef0b557f804f0fb8e2a909128da6e74a7ce92	1172	unresolved-in-current-reference-set	Unresolved	No exact match in supplied Questie 5.2.3/6.0.0 or pfQuest reference snapshots	Existing asset preserved unchanged; this audit does not guess its origin or grant additional rights.
UI/Icons/banker.tga	60977e232b43b2b866b62aed105218d5d031a7016de45d7f7b94988f7887a917	2590	exact-byte-match	pfQuest-classicAPI-octo	pfQuest-classicAPI-octo/img/tracking/banker.tga	SHA-256 exact byte match to the supplied reference snapshot.
UI/Icons/battlemaster.tga	ae8046cf89d80b3aef0c69d03b4e345b335748e854aab57f811faf763636a06a	1901	exact-byte-match	pfQuest-classicAPI-octo	pfQuest-classicAPI-octo/img/tracking/battlemaster.tga	SHA-256 exact byte match to the supplied reference snapshot.
UI/Icons/complete.blp	8e86e8f510bf9957b14c1ae22224fec02624ea5e5518ce1621854878a0bd41b5	6632	historical-attribution-unverified	Questie	Questie 3.3.5 asset (project history)	Docs/DEVELOPMENT HISTORY.txt records this as a Questie 3.3.5 asset; that exact historical archive is not available in the current workspace for hash verification.
UI/Icons/event.blp	21370fb26d730e8b0e61b78976bf75c916a9760bd943b6bc8f6ff3e5c202e2f5	2564	exact-byte-match	Questie	Questie/Icons/event.blp	SHA-256 exact byte match to the supplied reference snapshot.
UI/Icons/eventquest.blp	354e323572d38d72ab911d42730ce615240f206d4c59cda92f7117642f5ffdb4	6632	historical-attribution-unverified	Questie	Questie event quest artwork (project history)	Project history describes the event marker as Questie event quest artwork; no exact byte match exists in the supplied 5.2.3/6.0.0 snapshots.
